name,prefecture,city,url,mola_star,lat,lng,has_penguin,penguin_source_url,penguin_checked_at,penguin_status,has_dolphin,has_sealion,has_orca,has_jellyfish,animal_checked_at,is_closed,closed_at
栃木県なかがわ水遊園,栃木県,大田原市,https://tnap.jp/,0,36.7886682,140.1290051,false,https://tnap.jp/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
道の駅 水紀行館 水産学習館,群馬県,みなかみ市,http://www9.wind.ne.jp/mizukikou/frame.htm,0,36.6916153,138.9833065,false,http://www9.wind.ne.jp/mizukikou/frame.htm,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
桐生が岡動物園,群馬県,桐生市,http://www.city.kiryu.lg.jp/zoo/index.html,0,36.4206189,139.3397621,unknown,http://www.city.kiryu.lg.jp/zoo/index.html,2026/2/26,,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
アクアワールド 茨城県大洗水族館,茨城県,大洗町,http://www.aquaworld-oarai.com/,0,36.3333185,140.593871,true,http://www.aquaworld-oarai.com/,2026/2/26,unknown,true,true,false,true,2026-03-04,FALSE,
かすみがうら市水族館,茨城県,かすみがうら市,http://www.dane-kerry.com/aquarium/,0,36.0716321,140.3760291,true,http://www.dane-kerry.com/aquarium/,2026/2/26,unknown,false,true,false,true,2026-03-05,FALSE,
さいたま水族館,埼玉県,羽生市,http://www.parks.or.jp/suizokukan/,0,36.1731966,139.5978047,false,http://www.parks.or.jp/suizokukan/,2026/2/26,,false,false,false,false,2026-03-05,FALSE,
埼玉県立川の水族館,埼玉県,寄居町,https://www.river-museum.jp/,0,36.1182741,139.1927779,false,https://www.river-museum.jp/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
鴨川シーワールド,千葉県,鴨川市,http://www.kamogawa-seaworld.jp/,0,35.1152464,140.1190315,true,http://www.kamogawa-seaworld.jp/,2026/2/26,unknown,true,true,true,true,2026-03-05,FALSE,
みなとオアシス「渚の駅たてやま」海辺の広場,千葉県,館山市,https://www.city.tateyama.chiba.jp/minato/page100102.html,0,34.9965304,139.8699838,false,https://www.city.tateyama.chiba.jp/minato/page100102.html,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
板橋区立熱帯環境植物館,東京都,板橋区,https://www.seibu-la.co.jp/nettaikan/,0,35.7512814,139.7087794,false,https://www.seibu-la.co.jp/nettaikan/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
足立区生物園,東京都,足立区,https://seibutuen.jp/,0,35.7923576,139.8071899,false,https://seibutuen.jp/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
しながわ水族館,東京都,品川区,https://www.aquarium.gr.jp/,0,35.5886394,139.7374728,true,https://www.aquarium.gr.jp/,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
マクセル アクアパーク品川,東京都,港区,http://www.aqua-park.jp/aqua/index.html,0,35.628389,139.7357544,true,http://www.aqua-park.jp/aqua/index.html,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
UWS AQUARIUM GA☆KYO,東京都,港区,https://uws-gakyo.com/,0,35.6580089,139.7515137,false,https://uws-gakyo.com/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
すみだ水族館,東京都,墨田区,https://www.sumida-aquarium.com/,0,35.7101011,139.8093338,true,https://www.sumida-aquarium.com/,2026/2/26,unknown,false,true,false,true,2026-03-05,FALSE,
葛西臨海水族園,東京都,江戸川区,https://www.tokyo-zoo.net/zoo/kasai/,0,35.6406595,139.8620492,true,https://www.tokyo-zoo.net/zoo/kasai/,2026/2/26,unknown,false,false,false,true,2026-03-05,FALSE,
サンシャイン水族館,東京都,豊島区,https://sunshinecity.jp/aquarium/,0,35.7291388,139.7202726,true,https://sunshinecity.jp/aquarium/,2026/2/26,unknown,false,true,false,false,2026-03-05,FALSE,
上野動物園 両生爬虫類館,東京都,台東区,https://www.tokyo-zoo.net/zoo/ueno/,0,35.7152915,139.7738278,false,https://www.tokyo-zoo.net/zoo/ueno/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
井の頭公園自然文化園 水生物館,東京都,三鷹市,https://www.tokyo-zoo.net/zoo/ino/about.html,0,35.6833926,139.5592421,false,https://www.tokyo-zoo.net/zoo/ino/about.html,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
小笠原海洋センター,東京都,小笠原町,http://bonin-ocean.net/,0,27.0939245,142.2037854,false,http://bonin-ocean.net/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
小笠原水産センター 小さな水族館,東京都,小笠原町,https://www.soumu.metro.tokyo.lg.jp/07ogasawara/fish/aquarium.html,0,27.0956,142.191,false,https://www.soumu.metro.tokyo.lg.jp/07ogasawara/fish/aquarium.html,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
横浜・八景島シーパラダイス,神奈川県,横浜市,http://www.seaparadise.co.jp/,0,35.3365026,139.6457835,false,http://www.seaparadise.co.jp/,2026/2/26,unknown,true,true,false,false,2026-03-05,FALSE,
横浜開運水族館 フォーチュンアクアリウム,神奈川県,横浜市,https://fortune-aquarium.com/,0,35.4503381,139.6343802,false,https://fortune-aquarium.com/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
新江ノ島水族館,神奈川県,藤沢市,https://www.enosui.com/,0,35.310075,139.4794388,true,https://www.enosui.com/,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
観音崎自然博物館,神奈川県,横須賀市,https://kannonzaki-nature-museum.jimdofree.com/,0,35.251788,139.742333,unknown,https://kannonzaki-nature-museum.jimdofree.com/,2026/2/26,unknown,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
相模川ふれあい科学館 アクアリウムさがみはら,神奈川県,相模原市,https://sagamigawa-fureai.com/,0,35.5474136,139.3288881,false,https://sagamigawa-fureai.com/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
北里大学アクアリウムラボ,神奈川県,相模原市,http://kalsdiary.blog.fc2.com/,0,35.5714621,139.3731052,false,http://kalsdiary.blog.fc2.com/,2026/2/26,unknown,false,false,false,true,2026-03-04,FALSE,
箱根園水族館,神奈川県,箱根町,https://www.princehotels.co.jp/amuse/hakone-en/suizokukan/,0,35.2122439,139.0093068,true,https://www.princehotels.co.jp/amuse/hakone-en/suizokukan/,2026/2/26,unknown,false,true,false,false,2026-03-05,FALSE,
カワスイ 川崎水族館,神奈川県,川崎市,https://kawa-sui.com/,0,35.5292942,139.6968358,false,https://kawa-sui.com/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
よみうりランド,神奈川県,川崎市,https://www.yomiuriland.com/,0,35.6248943,139.5158633,false,https://www.yomiuriland.com/,2026/2/26,unknown,false,true,false,false,2026-03-04,FALSE,
新潟市水族館 マリンピア日本海,新潟県,新潟市,https://www.marinepia.or.jp/,0,37.9163757,139.0365062,true,https://www.marinepia.or.jp/,2026/2/26,unknown,true,true,false,false,2026-03-04,FALSE,
長岡市寺泊水族博物館,新潟県,長岡市,http://www.aquarium-teradomari.jp/,0,37.6338595,138.760273,unknown,http://www.aquarium-teradomari.jp/,2026/2/26,,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
上越市立水族博物館 うみがたり,新潟県,上越市,https://www.umigatari.jp/joetsu/,0,37.1735213,138.2329915,unknown,https://www.umigatari.jp/joetsu/,2026/2/26,unknown,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
イヨボヤ会館,新潟県,村上市,https://www.iyoboya.jp/,0,38.2277764,139.4714764,false,https://www.iyoboya.jp/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
小千谷市錦鯉の里,新潟県,小千谷市,https://www.city.ojiya.niigata.jp/site/kanko/nishikigoinosato.html,0,37.3110039,138.7954153,unknown,https://www.city.ojiya.niigata.jp/site/kanko/nishikigoinosato.html,2026/2/26,unknown,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
魚津水族館,富山県,魚津市,https://www.uozu-aquarium.jp/,0,36.7983076,137.388119,true,https://www.uozu-aquarium.jp/,2026/2/26,unknown,false,true,false,true,2026-03-05,FALSE,
ひみラボ水族館,富山県,氷見市,https://sites.google.com/site/himilab/5%E3%81%B2%E3%81%BF%E3%83%A9%E3%83%9C%E6%B0%B4%E6%97%8F%E9%A4%A8?authuser=0,0,36.8645966,136.9704027,true,https://sites.google.com/site/himilab/5%E3%81%B2%E3%81%BF%E3%83%A9%E3%83%9C%E6%B0%B4%E6%97%8F%E9%A4%A8?authuser=0,2026/2/26,unknown,false,true,false,true,2026-03-05,FALSE,
